2026-07-23 09:29:53,749 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-23 09:29:53,750 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-23 09:29:53,750 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 10:29:53. No new trades until then — market regime re-evaluated on resume.
2026-07-23 09:29:53,750 | INFO     | risk_manager | Position size reduced 50% after 2 consecutive losses.
2026-07-23 09:29:53,750 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-23 09:29:53,751 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-23 09:29:53,751 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-23 09:29:53,751 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 10:29:53. No new trades until then — market regime re-evaluated on resume.
2026-07-23 09:29:53,752 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -600.00. Consecutive losses: 1
2026-07-23 09:29:53,752 | WARNING  | risk_manager | Trading halted for today: max_daily_loss_hit(-600.00)
2026-07-23 09:29:53,760 | CRITICAL | risk_manager | EMERGENCY STOP TRIGGERED: test
2026-07-23 09:29:53,763 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-23 09:29:53,763 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-23 09:29:53,763 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 10:29:53. No new trades until then — market regime re-evaluated on resume.
2026-07-23 09:29:53,763 | INFO     | risk_manager | Win registered on TEST (test_strategy): +50.00. Consecutive wins: 1
2026-07-23 09:29:53,764 | INFO     | risk_manager | Consecutive win streak achieved — position sizing restored to normal.
2026-07-23 09:29:53,764 | INFO     | risk_manager | Win registered on TEST (test_strategy): +50.00. Consecutive wins: 2
2026-07-23 09:29:53,764 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5200.00 >= ₹3000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-23 09:29:53,764 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5200.00)
2026-07-23 09:29:53,765 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5200.00. Consecutive wins: 1
2026-07-23 09:29:53,765 | INFO     | risk_manager | Daily profit target reached/exceeded: ₹5000.00 >= ₹3000.00. Halting trading for today. Trading will restart automatically on the next date.
2026-07-23 09:29:53,765 | WARNING  | risk_manager | Trading halted for today: max_daily_profit_hit(5000.00)
2026-07-23 09:29:53,765 | INFO     | risk_manager | Win registered on TEST (test_strategy): +5000.00. Consecutive wins: 1
2026-07-23 09:29:53,765 | INFO     | risk_manager | New trading day detected (2026-07-23) — resetting daily profit target & counters, preserving equity/drawdown state.
2026-07-23 09:31:56,390 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 1
2026-07-23 09:31:56,390 | INFO     | risk_manager | Loss registered on TEST (test_strategy): -20.00. Consecutive losses: 2
2026-07-23 09:31:56,390 | WARNING  | risk_manager | Max consecutive losses (2) reached. Cooling down until 10:31:56. No new trades until then — market regime re-evaluated on resume.
